Label,S1,S2,S3,S4,S5,S6,S7
0,22.92101302,21.20262792,27.67375,40.738125,4.424387216,15.63822266,61.70987822
0,22.90211237,21.16017386,27.67375,40.738125,4.482809543,15.63822266,61.73164224
0,22.88321172,21.11776712,27.67375,40.738125,4.54123187,15.63822266,61.75341787
0,22.86431107,21.07540767,27.67375,40.738125,4.599654196,15.63822266,61.77520636
0,22.84541043,21.03309554,27.67375,40.738125,4.658076523,15.63822266,61.7970076
0,22.82650978,20.99083071,27.67375,40.738125,4.71649885,15.63822266,61.81882185
0,22.80760913,20.94861319,27.67375,40.738125,4.774921177,15.63822266,61.84064914
0,22.78870848,20.90644298,27.67375,40.738125,4.833343504,15.63822266,61.86248898
0,22.76980784,20.86432008,27.67375,40.738125,4.89176583,15.63822266,61.88434308
0,22.75090719,20.82224448,27.67375,40.738125,4.950188157,15.63822266,61.90621379
0,22.73200654,20.78021619,27.67375,40.738125,5.008610484,15.63822266,61.92810164
0,22.71310589,20.73823521,27.67375,40.738125,5.067032811,15.63822266,61.95000778
0,22.69420525,20.69630154,27.67375,40.738125,5.125455138,15.63822266,61.97193123
0,22.6753046,20.65441517,27.67375,40.738125,5.183877464,15.63822266,61.99386957
0,22.65640395,20.61257611,27.67375,40.738125,5.242299791,15.63822266,62.01582265
0,22.6375033,20.57078436,27.67375,40.738125,5.300722118,15.63822266,62.03778951
0,22.61860266,20.52903991,27.67375,40.738125,5.359144445,15.63822266,62.0597699
0,22.59970201,20.48734277,27.67375,40.738125,5.417566772,15.63822266,62.08176456
0,22.58080136,20.44569294,28.68125,42.304375,5.475989098,15.63822266,62.10377198
0,22.56190071,20.40409042,28.68125,42.304375,5.534411425,15.63822266,62.12579068
0,22.54300007,20.3625352,28.68125,42.304375,5.592833752,15.63822266,62.14782265
0,22.52409942,20.32102729,28.68125,42.304375,5.651256079,15.63822266,62.16987046
0,22.50519877,20.27956669,28.68125,42.304375,5.709678406,15.63822266,62.19193526
0,22.48629812,20.2381534,28.68125,42.304375,5.768100732,15.63822266,62.21401949
0,22.46739748,20.19678741,28.68125,42.304375,5.826523059,15.63822266,62.23612236
0,22.44849683,20.15546874,28.68125,42.304375,5.884945386,15.63822266,62.25824157
0,22.42959618,20.11419736,28.68125,42.304375,5.943367713,15.63822266,62.28037868
0,22.41069553,20.0729733,28.68125,42.304375,6.00179004,15.63822266,62.30253452
0,22.39179488,20.03179654,28.68125,42.304375,6.060212366,15.63822266,62.32470804
0,22.37289424,19.99066709,28.68125,42.304375,6.118634693,15.63822266,62.34689882
0,22.35399359,19.94958495,28.68125,42.304375,6.17705702,15.63822266,62.36910566
0,22.33509294,19.90855012,28.68125,42.304375,6.235479347,15.63822266,62.39132663
0,22.31619229,19.86756259,28.68125,42.304375,6.293901673,15.63822266,62.41356255
0,22.29729165,19.82662237,28.68125,42.304375,6.352324,15.63822266,62.43581486
0,22.278391,19.78572946,11.2975,31.38625,6.410746327,15.63822266,62.45808262
0,22.25949035,19.74488385,11.2975,31.38625,6.469168654,15.63822266,62.48036557
0,22.2405897,19.70408556,11.2975,4.30625,6.527590981,15.63822266,62.50266345
0,22.22168906,19.66333457,11.2975,4.30625,6.586013307,15.63822266,62.52497525
